date,steel_price,copper_price
11/19/2022,1688.21,8046.9
11/18/2022,1672.19,8310.86
11/17/2022,1698.71,8314.5
11/16/2022,1699.31,8342.85
11/15/2022,1729.77,8345.5
11/14/2022,1716.12,8345.5
11/13/2022,1700.39,8440.5
11/12/2022,1700.39,8440.5
11/11/2022,1700.39,8440.5
11/10/2022,1630.76,8062.5
11/9/2022,1583.59,8033.85
11/8/2022,1624.27,7973
11/7/2022,1600.95,7953.85
11/6/2022,1600.95,7953.85
11/5/2022,1600.95,7953.85
11/4/2022,1637.04,7902.35
11/3/2022,1519.22,7509.5
11/2/2022,1491.44,7702.5
11/1/2022,1566,7742.35
10/31/2022,1527.6,7522.5
11/30/2022,1527.6,7522.5
11/29/2022,1527.6,7522.5
10/28/2022,1515.46,7619.25
10/27/2022,1549.92,7775.85
10/26/2022,1569.01,7762
10/25/2022,1549.37,7534.85
10/24/2022,1545.64,7540
10/23/2022,1545.64,7540
10/22/2022,1545.64,7540
10/21/2022,1580.45,7543
10/20/2022,1500.53,7585.5
