Material Description,link,Material Price,Vendor Location
RYMCO 1-in x 10-ft Metal Emt Conduit - Lowe's,https://www.lowes.com/pd/RYMCO-Common-1-in-Actual-1-in-Metal-EMT-10-ft-Conduit/1000842510,21.88,lowes
Sigma ProConnex 1-in Zinc-plated Steel Set Screw ...,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-in-Set-Screw-Connector-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/50101820,5.99,lowes
Sigma ProConnex 1/2-in Zinc-plated Steel Set Screw ...,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-2-in-Set-Screw-Connector-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1000152643,5.99,lowes
Sigma ProConnex 1/2-in Zinc-plated Steel Set Screw ...,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-2-in-Set-Screw-Coupling-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1000152659,5.99,lowes
Sigma ProConnex 1-in Zinc-plated Steel Set Screw ...,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-in-Set-Screw-Coupling-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/50101822,5.99,lowes
Sigma ProConnex 1-in Die Cast Zinc Set Screw Coupling ...,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-in-Set-Screw-Coupling-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1099071,5.99,lowes
Southwire SIMpull 500-ft 4-AWG Stranded Blue Copper ...,https://www.lowes.com/pd/Southwire-SIMpull-500-ft-4-AWG-Stranded-Blue-Copper-THHN-Wire-By-the-Roll/1001078048,568.07,lowes
Southwire Romex SIMpull 250-ft 12/2/2 Non-Metallic Wire ...,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-2-Non-Metallic-Wire-By-the-Roll/1193433,149.0,lowes
Southwire Romex SIMpull 250-ft 12/2 Solid Non-Metallic ...,https://www.lowes.com/pd/1/1193433,149.0,lowes
Southwire Romex SIMpull 250-ft 12/2/2 Non-Metallic Wire ...,https://www.lowes.com/pd/Romex-SIMpull-250-ft-12-4-Non-Metallic-Wire-By-the-Roll/3424952,258.0,lowes
Southwire Romex SIMpull 250-ft 12/3 Solid Non-Metallic ...,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-3-Non-Metallic-Wire-By-the-Roll/3136775,289.0,lowes
Southwire Romex SIMpull 250-ft 12/2 Solid Non-Metallic Wire ...,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-2-Non-Metallic-Wire-By-the-Roll/1193433,149.0,lowes
